src_ip,length
206.45.31.9,278625045
203.182.169.136,18044082
114.91.197.89,191270
122.187.198.104,80592
59.48.217.38,58512
108.157.197.249,40330
34.138.244.65,40137
2.46.183.85,23184
114.89.253.74,19872
114.90.81.145,8832
2.41.166.242,8720
175.117.128.64,5202
47.52.63.45,4624
218.45.26.176,3540
203.182.168.38,3358
61.68.162.64,2244
114.88.220.88,2208
139.218.6.53,1618
150.134.1.139,1180
122.186.139.92,1104
47.58.206.244,592
202.10.150.255,590
202.10.160.235,590
5.68.16.222,210
46.0.249.3,118
133.131.120.65,70
202.155.37.145,70
202.10.138.66,70
202.10.138.64,70
